what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"org.eclipse.ui.workbench",1459811275369
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.workbench.texteditor",1459811275406
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.200.v201103170332,"org.eclipse.wst.common.project.facet.core",1459811275408
started,bundle,org.eclipse.wst.web,1.1.500.v201104251400,"org.eclipse.wst.web",1459811275410
os,sysinfo,,,"win32",1459811275414
arch,sysinfo,,,"x86",1459811275414
ws,sysinfo,,,"win32",1459811275414
locale,sysinfo,,,"en_US",1459811275414
processors,sysinfo,,,"8",1459811275414
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1459811275414
java.runtime.version,sysinfo,,,"1.8.0_60-b27",1459811275414
java.specification.name,sysinfo,,,"Java Platform API Specification",1459811275414
java.specification.vendor,sysinfo,,,"Oracle Corporation",1459811275414
java.specification.version,sysinfo,,,"1.8",1459811275414
java.vendor,sysinfo,,,"Oracle Corporation",1459811275414
java.version,sysinfo,,,"1.8.0_60",1459811275414
java.vm.info,sysinfo,,,"mixed mode",1459811275414
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1459811275414
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1459811275414
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1459811275414
java.vm.specification.version,sysinfo,,,"1.8",1459811275414
java.vm.vendor,sysinfo,,,"Oracle Corporation",1459811275414
java.vm.version,sysinfo,,,"25.60-b23",1459811275414
started,bundle,org.eclipse.emf.common,2.7.0.v20110912-0920,"org.eclipse.emf.common",1459811275530
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1459811275538
started,bundle,org.eclipse.emf.ecore,2.7.0.v20110912-0920,"org.eclipse.emf.ecore",1459811275806
opened,view,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.views.ProblemView",1459811275962
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1459811276030
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1459811276157
started,bundle,org.eclipse.emf.ecore.xmi,2.7.0.v20110520-1406,"org.eclipse.emf.ecore.xmi",1459811276341
started,bundle,org.eclipse.jst.common.project.facet.core,1.4.200.v201103170302,"org.eclipse.jst.common.project.facet.core",1459811276516
started,bundle,org.eclipse.jst.ws.jaxrs.core,1.0.301.v201108240656,"org.eclipse.jst.ws.jaxrs.core",1459811276534
executed,command,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.edit.text.java.toggle.comment",1459811379968
started,bundle,org.eclipse.mylyn.ide.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.ide.ui",1459811416962
started,bundle,org.eclipse.jpt.jaxb.ui,1.1.1.v201108080010,"org.eclipse.jpt.jaxb.ui",1459811417009
started,bundle,org.eclipse.jpt.jpa.ui,3.0.1.v201108080010,"org.eclipse.jpt.jpa.ui",1459811417044
started,bundle,org.eclipse.jpt.common.core,1.0.1.v201108080010,"org.eclipse.jpt.common.core",1459811417089
started,bundle,org.eclipse.jpt.jpa.core,3.0.1.v201109073010,"org.eclipse.jpt.jpa.core",1459811417125
started,bundle,org.eclipse.jst.ws.jaxws.ui,1.0.100.v201104032053,"org.eclipse.jst.ws.jaxws.ui",1459811417144
started,bundle,org.eclipse.mylyn.java.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.ui",1459811417153
started,bundle,org.eclipse.pde.api.tools,1.0.301.v20110728_r371,"org.eclipse.pde.api.tools",1459811417184
started,bundle,org.eclipse.pde.api.tools.ui,1.0.301.v20110803_r371,"org.eclipse.pde.api.tools.ui",1459811417185
started,bundle,org.eclipse.jpt.jaxb.core,1.0.1.v201108080010,"org.eclipse.jpt.jaxb.core",1459811417870
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1459811420915
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1459811522408
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1459811527213
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1459811527945
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1459811619110
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1459811619880
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1459811682167
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1459811697845
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1459811702600
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1459811704996
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1459811734502
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1459811768998
